model_name,AUC,MAE,Spearman
GBR Classifier + GBR Regressor,0.7167870731095098,71.46807901158319,0.38697399360581897
KNN + KNN,0.6937777893184328,72.32102515759813,0.35579982275943906
RF + RF,0.7166468295807656,76.3545401297026,0.38334707155028125
ExtraTrees + ExtraTrees,0.7152221690210712,76.99527941255198,0.3802521670713991
ExtraTrees + RF,0.7152221690210712,77.06638521026908,0.3791269597599809
LogReg + GBR,0.7068637625052429,77.13884798654122,0.37630037020737495
LogReg + RF,0.7068637625052429,77.35172168632138,0.37295184853755636
SVC + SVR,0.30805411923544684,83.55244014741693,0.355440938803392
AdaBoost + AdaBoost,0.7135610042982282,85.17881643445855,0.33112612111382006
