iter	Passed	Remaining
230	4135	8395
231	4153	8379
232	4171	8361
233	4190	8344
234	4207	8324
235	4225	8307
236	4244	8291
237	4262	8273
238	4279	8254
239	4297	8237
240	4315	8220
241	4333	8202
242	4351	8183
243	4371	8169
244	4388	8150
245	4406	8132
246	4425	8116
247	4443	8099
248	4463	8083
249	4481	8067
250	4500	8050
251	4517	8031
252	4536	8015
253	4552	7993
254	4586	8003
255	4619	8011
256	4652	8019
257	4680	8018
258	4698	7999
259	4712	7974
260	4726	7950
261	4741	7926
262	4756	7902
263	4769	7876
264	4782	7850
265	4798	7829
266	4815	7809
267	4834	7792
268	4849	7769
269	4865	7748
270	4881	7727
271	4898	7707
272	4915	7687
273	4930	7665
274	4946	7644
275	4961	7622
276	4978	7601
277	4994	7581
278	5010	7561
279	5028	7543
280	5046	7524
281	5061	7503
282	5077	7481
283	5094	7462
284	5110	7441
285	5127	7422
286	5143	7401
287	5160	7382
288	5178	7364
289	5193	7342
290	5210	7323
291	5228	7305
292	5245	7286
293	5261	7266
294	5278	7246
295	5294	7226
296	5311	7207
297	5329	7189
298	5347	7171
299	5365	7153
300	5382	7135
301	5402	7120
302	5422	7104
303	5439	7086
304	5457	7068
305	5474	7049
306	5491	7029
307	5507	7010
308	5524	6990
309	5541	6971
310	5557	6951
311	5574	6932
312	5589	6911
313	5606	6891
314	5622	6871
315	5638	6852
316	5654	6832
317	5670	6812
318	5688	6793
319	5705	6774
320	5720	6754
321	5737	6734
322	5756	6718
323	5772	6699
324	5790	6681
325	5807	6663
326	5825	6644
327	5843	6627
328	5860	6609
329	5878	6590
330	5894	6571
331	5912	6553
332	5930	6535
333	5947	6517
334	5966	6500
335	5983	6482
336	6001	6464
337	6019	6446
338	6037	6429
339	6053	6409
340	6071	6392
341	6089	6374
342	6105	6354
343	6122	6335
344	6138	6316
345	6156	6299
346	6173	6280
347	6190	6261
348	6206	6242
349	6224	6224
350	6240	6205
351	6257	6186
352	6275	6169
353	6291	6149
354	6308	6130
355	6325	6112
356	6344	6096
357	6360	6076
358	6378	6058
359	6394	6038
360	6411	6020
361	6427	6001
362	6444	5982
363	6460	5963
364	6477	5945
365	6516	5946
366	6538	5932
367	6560	5919
368	6580	5902
369	6597	5884
370	6618	5869
371	6637	5852
372	6655	5834
373	6673	5817
374	6690	5798
375	6710	5782
376	6729	5765
377	6747	5747
378	6766	5731
379	6784	5713
380	6802	5695
381	6820	5677
382	6837	5659
383	6855	5641
384	6873	5623
385	6889	5604
386	6910	5589
387	6927	5570
388	6945	5552
389	6965	5536
390	6984	5519
391	7002	5501
392	7019	5483
393	7036	5464
394	7054	5447
395	7073	5430
396	7090	5411
397	7107	5392
398	7125	5375
399	7142	5356
400	7161	5339
401	7180	5322
402	7199	5306
403	7216	5287
404	7234	5269
405	7252	5251
406	7269	5233
407	7287	5215
408	7305	5198
409	7324	5181
410	7342	5163
411	7358	5144
412	7377	5126
413	7395	5108
414	7412	5090
415	7430	5072
416	7447	5054
417	7467	5037
418	7484	5019
419	7503	5002
420	7522	4985
421	7540	4967
422	7558	4949
423	7575	4931
424	7594	4914
425	7613	4897
426	7630	4878
427	7647	4860
428	7665	4842
429	7682	4823
430	7701	4807
431	7719	4789
432	7737	4771
433	7755	4753
434	7775	4736
435	7793	4718
436	7808	4699
437	7827	4682
438	7845	4664
439	7862	4645
440	7879	4627
441	7896	4609
442	7915	4592
443	7933	4574
444	7950	4555
445	7968	4537
446	7986	4520
447	8003	4501
448	8022	4484
449	8039	4466
450	8055	4447
451	8072	4429
452	8092	4412
453	8112	4395
454	8131	4378
455	8148	4360
456	8165	4341
457	8183	4324
458	8201	4306
459	8219	4288
460	8236	4270
461	8252	4251
462	8270	4233
463	8287	4215
464	8306	4197
465	8325	4180
466	8342	4162
467	8360	4144
468	8378	4126
469	8395	4108
470	8412	4090
471	8430	4072
472	8449	4054
473	8464	4035
474	8479	4016
475	8496	3998
476	8514	3980
477	8531	3962
478	8548	3944
479	8565	3925
480	8581	3907
481	8598	3889
482	8615	3870
483	8631	3852
484	8647	3833
485	8664	3815
486	8679	3796
487	8696	3777
488	8713	3759
489	8733	3743
490	8751	3725
491	8770	3707
492	8787	3689
493	8805	3672
494	8823	3654
495	8841	3636
496	8857	3617
497	8873	3599
498	8892	3582
499	8909	3563
500	8927	3546
501	8944	3528
502	8962	3510
503	8979	3491
504	8996	3474
505	9014	3456
506	9032	3438
507	9051	3420
508	9068	3403
509	9085	3384
510	9102	3366
511	9120	3348
512	9136	3330
513	9153	3312
514	9172	3294
515	9193	3278
516	9214	3261
517	9231	3243
518	9250	3226
519	9270	3208
520	9289	3191
521	9307	3173
522	9324	3155
523	9342	3137
524	9360	3120
525	9377	3102
526	9393	3083
527	9411	3066
528	9428	3047
529	9445	3029
530	9463	3011
531	9481	2994
532	9497	2975
533	9513	2957
534	9530	2939
535	9548	2921
536	9564	2903
537	9584	2886
538	9602	2868
539	9618	2850
540	9635	2832
541	9654	2814
542	9672	2796
543	9691	2779
544	9709	2761
545	9727	2743
546	9743	2725
547	9760	2707
548	9780	2690
549	9798	2672
550	9815	2654
551	9833	2636
552	9850	2618
553	9870	2601
554	9888	2583
555	9907	2566
556	9924	2547
557	9944	2530
558	9961	2512
559	9976	2494
560	9995	2476
561	10015	2459
562	10033	2441
563	10050	2423
564	10067	2405
565	10084	2387
566	10101	2369
567	10121	2352
568	10139	2334
569	10155	2316
570	10172	2298
571	10189	2280
572	10204	2261
573	10223	2244
574	10242	2226
575	10259	2208
576	10277	2190
577	10295	2173
578	10312	2155
579	10330	2137
580	10348	2119
581	10366	2101
582	10385	2084
583	10406	2067
584	10437	2051
585	10468	2036
586	10505	2022
587	10529	2005
588	10547	1987
589	10562	1969
590	10578	1951
591	10595	1932
592	10610	1914
593	10625	1896
594	10639	1877
595	10655	1859
596	10669	1840
597	10684	1822
598	10700	1804
599	10715	1785
600	10730	1767
601	10746	1749
602	10769	1732
603	10786	1714
604	10801	1696
605	10816	1677
606	10830	1659
607	10845	1641
608	10860	1622
609	10877	1604
610	10893	1586
611	10908	1568
612	10923	1550
613	10939	1532
614	10956	1514
615	10971	1496
616	10986	1477
617	11000	1459
618	11015	1441
619	11031	1423
620	11046	1405
621	11061	1387
622	11077	1369
623	11093	1351
624	11109	1333
625	11125	1315
626	11144	1297
627	11159	1279
628	11174	1261
629	11192	1243
630	11209	1225
631	11226	1207
632	11244	1190
633	11259	1172
634	11275	1154
635	11291	1136
636	11305	1118
637	11322	1100
638	11341	1082
639	11358	1064
640	11376	1047
641	11394	1029
642	11412	1011
643	11432	994
644	11451	976
645	11469	958
646	11485	940
647	11503	923
648	11519	905
649	11537	887
650	11554	869
651	11571	851
652	11590	834
653	11606	816
654	11622	798
655	11639	780
656	11656	762
657	11672	745
658	11689	727
659	11705	709
660	11722	691
661	11740	673
662	11756	656
663	11772	638
664	11788	620
665	11804	602
666	11820	584
667	11836	567
668	11852	549
669	11872	531
670	11889	513
671	11906	496
672	11923	478
673	11940	460
674	11960	442
675	11977	425
676	11994	407
677	12011	389
678	12028	372
679	12045	354
680	12061	336
681	12079	318
682	12096	301
683	12112	283
684	12130	265
685	12146	247
686	12162	230
687	12180	212
688	12196	194
689	12213	177
690	12230	159
691	12244	141
692	12260	123
693	12278	106
694	12295	88
695	12311	70
696	12328	53
697	12404	35
698	12445	17
699	12483	0
