iter	MAE
644	0.5999614074
645	0.5999295128
646	0.5999083138
647	0.5998338749
648	0.5997989969
649	0.5997681669
650	0.5997223941
651	0.5996670927
652	0.5995785879
653	0.5995452173
654	0.5995196525
655	0.5994822828
656	0.5994569693
657	0.5994341888
658	0.5993885838
659	0.5993528459
660	0.5992752517
661	0.5992194813
662	0.5991957455
663	0.5991692438
664	0.5991480797
665	0.5991315264
666	0.5991094475
667	0.5990865489
668	0.5990553276
669	0.598964893
670	0.5989215928
671	0.5988794288
672	0.5988605835
673	0.5988274188
674	0.5987796698
675	0.5987590659
676	0.5987179063
677	0.5986696605
678	0.598638722
679	0.5986164253
680	0.598575495
681	0.598550427
682	0.5985035177
683	0.5984957512
684	0.5984453596
685	0.5984063068
686	0.5983865799
687	0.5983658281
688	0.5983086203
689	0.5982293975
690	0.598201975
691	0.598189813
692	0.5981603237
693	0.5981176593
694	0.5980592926
695	0.5980344249
696	0.5979743226
697	0.5979204161
698	0.5978990906
699	0.5978609093
